"Year", "Wheat", "Barley", "Oats", "Mutton", "Beef", "Wool", "Wage", "Real Wage"
1500, 22, 17, 15, -, -, 24, 32, 146
1510, 23, 18, 17, -, -, 31, 32, 141
1520, 29, 22, 21, -, -, 28, 33, 116
1530, 28, 25, 22, -, -, 31, 35, 124
1540, 34, 34, 27, -, -, 39, 37, 109
1550, 57, 64, 50, -, -, 53, 51, 89
1560, 58, 53, 46, -, 34, 53, 56, 98
1570, 67, 59, 48, -, 34, 60, 66, 97
1580, 77, 76, 65, -, 37, 58, 64, 83
1590, 100, 94, 90, -, 47, 81, 70, 69
1600, 95, 92, 85, 82, 51, 89, 70, 72
1610, 112, 105, 102, 89, 58, 91, 72, 64
1620, 113, 102, 89, 91, 57, 91, 80, 71
1630, 133, 138, 112, 95, 62, 105, 91, 68
1640, 143, 125, 119, 103, 72, 100, 96, 67
1650, 117, 99, 112, 121, 75, 129, 96, 82
1660, 114, 98, 103, 125, 76, 134, 96, 84
1670, 112, 94, 99, 116, 76, 122, 96, 86
1680, 96, 91, 100, 119, 76, 103, 98, 101
1690, 131, 104, 108, 114, 74, 127, 99, 75
1700, 100, 95, 94, 100, 76, 113, 97, 97
1710, 107, 104, 104, 109, 102, 107, 99, 92
1720, 108, 111, 108, 104, 105, 94, 97, 89
1730, 93, 97, 98, 90, 106, 91, 102, 108
1740, 91, 94, 97, 96, 112, 95, 105, 114
1750, 109, 121, 106, 100, 106, 96, -, -
1760, 120, 139, 118, 112, 123, 100, -, -
1770, 147, 138, 133, 134, 153, 100, 110, 74
1780, 146, 132, 137, 140, 152, 113, 129, 88
1790, 182, 173, 181, 183, 205, 166, 143, 78
1800, 267, 240, 263, 259, 303, 237, 209, 78
1810, 288, 260, 279, 266, 295, 267, 209, 72
1820, 189, 182, 213, 214, 265, 168, 183, 96
1830, 179, 181, 204, 215, 261, 210, 172, 95
1840, 176, 182, 179, 218, 268, 172, 162, 91
